task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,21229,391
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,0,0.25,1.0,0.4,26423,388
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,0,1.0,0.5,0.6666666666666666,37162,215
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,1.0,0.5833333333333334,0.7368421052631579,27421,548
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0,0.6666666666666666,1.0,0.8,19946,278
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,0,0.6666666666666666,1.0,0.8,26899,381
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.041666666666666664,0.16666666666666666,0.06666666666666667,22899,1514
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,25306,328
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.47058823529411764,1.0,0.6399999999999999,22131,914
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,1,1.0,1.0,1.0,21951,343
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,1,1.0,1.0,1.0,25028,763
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,1,1.0,1.0,1.0,26582,383
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,1,1.0,1.0,1.0,28642,234
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0,0.6666666666666666,1.0,0.8,20852,503
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0,0.0,0.0,0.0,21387,637
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0.0,0.0,0.0,25567,233
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,0,0.25,1.0,0.4,23057,337
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,25342,234
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,0,0.0,0.0,0.0,23738,176
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,0,0.0,0.0,0.0,25254,250
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task6,0,0.0,0.0,0.0,38318,187
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task7,0,0.2,1.0,0.33333333333333337,28921,421
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0,0.0,0.0,0.0,31456,342
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task9,0,0.0,0.0,0.0,22109,170
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task10,0,0.0,0.0,0.0,21042,190
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task1,0,0.25,0.25,0.25,21410,542
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task2,0,0.2,1.0,0.33333333333333337,22419,399
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task3,0,0.0,0.0,0.0,27698,184
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task4,0,0.6666666666666666,0.8,0.7272727272727272,26627,839
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task5,0,0.0,0.0,0.0,31236,191
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task6,0,0.0,0.0,0.0,26094,318
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,1,1.0,1.0,1.0,48336,348
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1,1.0,1.0,1.0,56817,373
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1,1.0,1.0,1.0,49063,344
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1,1.0,1.0,1.0,70084,389
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,0,0.5,1.0,0.6666666666666666,51877,328
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1,1.0,1.0,1.0,54553,359
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,0,0.5,1.0,0.6666666666666666,48654,465
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0,0.0,0.0,0.0,21722,501
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,0,0.75,1.0,0.8571428571428571,32370,467
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,1,1.0,1.0,1.0,24681,414
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,0,1.0,0.6666666666666666,0.8,26648,288
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0,0.5,1.0,0.6666666666666666,20320,261
Webmall_Substitutes,Webmall_Substitutes_Task1,0,0.0,0.0,0.0,24714,368
Webmall_Substitutes,Webmall_Substitutes_Task2,1,1.0,1.0,1.0,30856,220
Webmall_Substitutes,Webmall_Substitutes_Task3,0,0.5,1.0,0.6666666666666666,22147,466
Webmall_Substitutes,Webmall_Substitutes_Task4,0,0.0,0.0,0.0,25959,257
Webmall_Substitutes,Webmall_Substitutes_Task5,0,0.0,0.0,0.0,74030,863
Webmall_Substitutes,Webmall_Substitutes_Task6,0,0.0,0.0,0.0,22362,194
Webmall_Checkout,Webmall_Checkout_Task1,1,1.0,1.0,1.0,24962,229
Webmall_Checkout,Webmall_Checkout_Task2,1,1.0,1.0,1.0,27589,278
Webmall_Checkout,Webmall_Checkout_Task3,1,1.0,1.0,1.0,21602,215
Webmall_Checkout,Webmall_Checkout_Task4,1,1.0,1.0,1.0,26850,249
Webmall_Checkout,Webmall_Checkout_Task5,1,1.0,1.0,1.0,26537,246
Webmall_Checkout,Webmall_Checkout_Task6,1,1.0,1.0,1.0,25822,247
Webmall_Checkout,Webmall_Checkout_Task7,1,1.0,1.0,1.0,29930,288
Webmall_Checkout,Webmall_Checkout_Task8,1,1.0,1.0,1.0,11159,278
Webmall_EndToEnd,Webmall_EndToEnd_Task1,0,0.0,0.0,0.0,79394,329
Webmall_EndToEnd,Webmall_EndToEnd_Task2,1,1.0,1.0,1.0,85746,407
Webmall_EndToEnd,Webmall_EndToEnd_Task3,1,1.0,1.0,1.0,74361,379
Webmall_EndToEnd,Webmall_EndToEnd_Task4,1,1.0,1.0,1.0,77448,347
Webmall_EndToEnd,Webmall_EndToEnd_Task5,1,1.0,1.0,1.0,66008,369
Webmall_EndToEnd,Webmall_EndToEnd_Task6,1,1.0,1.0,1.0,60073,327
Webmall_EndToEnd,Webmall_EndToEnd_Task7,1,1.0,1.0,1.0,132357,620
Webmall_EndToEnd,Webmall_EndToEnd_Task8,0,0.5,0.5,0.5,311920,567
